"state","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939"
"ALABAMA",2647000,2649000,2653000,2661000,2685000,2719000,2743000,2762000,2787000,2814000
"ARKANSAS",1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000
"ARIZONA",434000,429000,426000,426000,428000,434000,443000,453000,466000,484000
"CALIFORNIA",5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000
"COLORADO",1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000
"CONNECTICUT",1613000,1628000,1637000,1642000,1650000,1666000,1672000,1678000,1684000,1696000
"DISTRICT OF COLUMBIA",488000,504000,513000,529000,568000,608000,629000,616000,638000,658000
"DELAWARE",239000,242000,245000,248000,250000,252000,253000,254000,257000,263000
"FLORIDA",1471000,1493000,1521000,1552000,1585000,1613000,1651000,1709000,1771000,1836000
"GEORGIA",2910000,2924000,2935000,2950000,2964000,2955000,2978000,3037000,3091000,3120000
"IOWA",2475000,2482000,2489000,2495000,2510000,2524000,2509000,2498000,2494000,2520000
"IDAHO",447000,454000,459000,464000,473000,481000,495000,507000,513000,521000
"ILLINOIS",7644000,7687000,7736000,7768000,7772000,7797000,7840000,7857000,7866000,7890000
"INDIANA",3242000,3257000,3281000,3304000,3319000,3332000,3348000,3374000,3386000,3403000
"KANSAS",1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000
"KENTUCKY",2623000,2652000,2676000,2698000,2722000,2748000,2768000,2784000,2800000,2825000
"LOUISIANA",2105000,2124000,2155000,2178000,2202000,2228000,2246000,2257000,2285000,2334000
"MASSACHUSETTS",4250000,4248000,4259000,4282000,4305000,4343000,4355000,4358000,4365000,4347000
"MARYLAND",1636000,1657000,1678000,1694000,1710000,1729000,1745000,1754000,1766000,1793000
"MAINE",8e+05,807000,815000,821000,829000,836000,840000,842000,843000,846000
"MICHIGAN",4834000,4798000,4780000,4780000,4798000,4838000,4889000,4968000,5056000,5156000
"MINNESOTA",2576000,2614000,2646000,2673000,2695000,2717000,2734000,2746000,2753000,2771000
"MISSOURI",3646000,3711000,3746000,3773000,3784000,3798000,3801000,3794000,3781000,3783000
"MISSISSIPPI",2006000,1994000,2004000,2031000,2050000,2061000,2072000,2086000,2127000,2168000
"MONTANA",539000,540000,540000,541000,545000,550000,554000,554000,552000,555000
"NORTH CAROLINA",3167000,3184000,3227000,3268000,3304000,3323000,3346000,3385000,3440000,3514000
"NORTH DAKOTA",682000,680000,676000,674000,672000,670000,664000,655000,647000,644000
"NEBRASKA",1380000,1384000,1386000,1385000,1382000,1375000,1358000,1339000,1326000,1318000
"NEW HAMPSHIRE",466000,470000,474000,477000,480000,481000,481000,481000,485000,490000
"NEW JERSEY",4068000,4120000,4120000,4107000,4089000,4085000,4084000,4088000,4100000,4129000
"NEW MEXICO",427000,436000,441000,449000,461000,475000,489000,503000,513000,523000
"NEVADA",92000,94000,96000,96000,98000,1e+05,101000,103000,105000,107000
"NEW YORK",12647000,12848000,13001000,13126000,13253000,13375000,13481000,13511000,13512000,13523000
"OHIO",6662000,6694000,6717000,6740000,6751000,6787000,6801000,6809000,6837000,6886000
"OKLAHOMA",2401000,2403000,2394000,2392000,2391000,2386000,2365000,2334000,2324000,2333000
"OREGON",956000,966000,972000,978000,985000,1001000,1025000,1048000,1067000,1081000
"PENNSYLVANIA",9649000,9707000,9764000,9784000,9795000,9774000,9767000,9790000,9952000,9901000
"RHODE ISLAND",686000,681000,677000,675000,675000,678000,686000,694000,694000,701000
"SOUTH CAROLINA",1745000,1753000,1748000,1752000,1760000,1769000,1781000,1802000,1834000,1872000
"SOUTH DAKOTA",693000,694000,692000,690000,682000,674000,666000,656000,649000,645000
"TENNESSEE",2619000,2657000,2711000,2747000,2784000,2798000,2791000,2795000,2821000,2874000
"TEXAS",5844000,5907000,5961000,6014000,6053000,6123000,6192000,6250000,6301000,6360000
"UTAH",509000,513000,517000,520000,522000,526000,527000,529000,535000,543000
"VIRGINIA",2427000,2445000,2452000,2460000,2485000,2520000,2552000,2590000,2638000,2670000
"VERMONT",360000,359000,358000,357000,357000,357000,357000,356000,356000,358000
"WASHINGTON",1568000,1581000,1584000,1592000,1610000,1629000,1653000,1681000,1698000,1715000
"WISCONSIN",2950000,2990000,3021000,3040000,3054000,3070000,3082000,3088000,3098000,3121000
"WEST VIRGINIA",1733000,1740000,1747000,1752000,1771000,1794000,1808000,1813000,1828000,1868000
"WYOMING",226000,229000,230000,230000,233000,237000,240000,243000,246000,248000
